Standard name,Original name
Axial (kN),Fz (kN)
Resolved shear (kN),FRes (kN)
Torsional moment (kNm),Mz (kNm)
Resolved moment (kNm),MRes (kNm)
ULS partial factor,ULS gF
Assumed height above ground level (m),Assumed height above ground level (m)
